iter	Passed	Remaining
668	55715	27566
669	55807	27487
670	55884	27400
671	55968	27317
672	56055	27236
673	56142	27154
674	56237	27077
675	56309	26988
676	56380	26899
677	56472	26820
678	56562	26740
679	56639	26654
680	56719	26568
681	56812	26490
682	56904	26411
683	56974	26321
684	57053	26236
685	57139	26154
686	57249	26083
687	57351	26008
688	57429	25922
689	57513	25839
690	57607	25760
691	57683	25674
692	57756	25586
693	57842	25504
694	57933	25423
695	58016	25340
696	58100	25257
697	58174	25170
698	58257	25086
699	58336	25001
700	58418	24917
701	58513	24839
702	58589	24752
703	58687	24675
704	58778	24595
705	58863	24512
706	58934	24424
707	59003	24334
708	59087	24251
709	59156	24162
710	59229	24075
711	59325	23996
712	59421	23918
713	59509	23837
714	59594	23754
715	59685	23674
716	59769	23590
717	59867	23513
718	59937	23424
719	60012	23338
720	60099	23256
721	60197	23178
722	60271	23091
723	60366	23012
724	60443	22926
725	60534	22846
726	60623	22765
727	60707	22681
728	60793	22599
729	60878	22516
730	60973	22437
731	61065	22357
732	61148	22273
733	61228	22189
734	61315	22106
735	61383	22017
736	61472	21936
737	61552	21852
738	61634	21768
739	61723	21686
740	61811	21604
741	61885	21517
742	61960	21431
743	62031	21344
744	62124	21263
745	62203	21179
746	62275	21091
747	62345	21004
748	62438	20923
749	62506	20835
750	62586	20750
751	62663	20665
752	62792	20597
753	62905	20523
754	62980	20437
755	63056	20351
756	63121	20262
757	63212	20181
758	63296	20098
759	63372	20012
760	63453	19928
761	63536	19844
762	63625	19763
763	63709	19679
764	63780	19592
765	63872	19512
766	63958	19429
767	64045	19347
768	64116	19259
769	64193	19174
770	64273	19090
771	64345	19003
772	64419	18917
773	64494	18831
774	64597	18754
775	64679	18670
776	64761	18586
777	64838	18501
778	64926	18419
779	65030	18341
780	65123	18261
781	65205	18177
782	65295	18095
783	65409	18021
784	65499	17939
785	65592	17858
786	65677	17775
787	65753	17689
788	65846	17609
789	65925	17524
790	66037	17448
791	66122	17365
792	66215	17284
793	66311	17204
794	66396	17121
795	66486	17039
796	66567	16955
797	66641	16869
798	66709	16781
799	66783	16695
800	66865	16612
801	66940	16526
802	67016	16441
803	67091	16355
804	67165	16269
805	67241	16184
806	67321	16100
807	67390	16013
808	67466	15928
809	67542	15843
810	67616	15757
811	67704	15675
812	67793	15593
813	67891	15513
814	67969	15428
815	68062	15347
816	68131	15260
817	68200	15174
818	68299	15094
819	68375	15009
820	68459	14926
821	68538	14841
822	68615	14756
823	68704	14674
824	68794	14592
825	68891	14512
826	68984	14430
827	69071	14348
828	69143	14262
829	69213	14176
830	69283	14090
831	69360	14005
832	69436	13920
833	69507	13834
834	69606	13754
835	69691	13671
836	69774	13588
837	69859	13505
838	69958	13424
839	70036	13340
840	70114	13255
841	70193	13171
842	70276	13088
843	70374	13007
844	70464	12925
845	70539	12840
846	70624	12757
847	70712	12674
848	70786	12589
849	70867	12506
850	70945	12421
851	71022	12337
852	71120	12256
853	71190	12170
854	71275	12087
855	71355	12003
856	71439	11920
857	71531	11838
858	71602	11753
859	71678	11668
860	71752	11583
861	71828	11499
862	71908	11415
863	71980	11330
864	72051	11245
865	72137	11162
866	72222	11079
867	72307	10996
868	72380	10911
869	72461	10827
870	72536	10743
871	72627	10660
872	72710	10577
873	72795	10494
874	72885	10412
875	72965	10328
876	73057	10246
877	73146	10163
878	73218	10079
879	73308	9996
880	73400	9914
881	73472	9829
882	73571	9748
883	73661	9666
884	73745	9582
885	73837	9500
886	73919	9417
887	73992	9332
888	74082	9249
889	74162	9166
890	74250	9083
891	74330	8999
892	74414	8916
893	74494	8832
894	74571	8748
895	74653	8665
896	74733	8581
897	74814	8497
898	74896	8414
899	74964	8329
900	75040	8245
901	75133	8163
902	75210	8079
903	75298	7996
904	75385	7913
905	75486	7831
906	75568	7748
907	75653	7665
908	75723	7580
909	75801	7496
910	75881	7413
911	75945	7328
912	76035	7245
913	76112	7161
914	76193	7078
915	76279	6995
916	76356	6911
917	76441	6828
918	76513	6743
919	76597	6660
920	76692	6578
921	76769	6494
922	76855	6411
923	76927	6327
924	77004	6243
925	77081	6159
926	77174	6077
927	77251	5993
928	77342	5910
929	77430	5828
930	77501	5743
931	77595	5661
932	77661	5576
933	77742	5493
934	77824	5410
935	77898	5326
936	77979	5242
937	78066	5160
938	78146	5076
939	78236	4993
940	78332	4911
941	78403	4827
942	78496	4744
943	78595	4662
944	78678	4579
945	78769	4496
946	78840	4412
947	78939	4330
948	79022	4246
949	79104	4163
950	79178	4079
951	79276	3997
952	79348	3913
953	79436	3830
954	79505	3746
955	79589	3663
956	79670	3579
957	79755	3496
958	79836	3413
959	79919	3329
960	80012	3247
961	80091	3163
962	80168	3080
963	80263	2997
964	80347	2914
965	80432	2830
966	80498	2747
967	80587	2664
968	80668	2580
969	80742	2497
970	80823	2413
971	80897	2330
972	80987	2247
973	81064	2163
974	81140	2080
975	81225	1997
976	81305	1914
977	81380	1830
978	81474	1747
979	81566	1664
980	81633	1581
981	81701	1497
982	81776	1414
983	81870	1331
984	81957	1248
985	82050	1165
986	82130	1081
987	82212	998
988	82294	915
989	82377	832
990	82482	749
991	82558	665
992	82638	582
993	82720	499
994	82794	416
995	82869	332
996	82958	249
997	83038	166
998	83109	83
999	83184	0
